,Wine,ID,Slug,Appellation,Color,Type,Region,Country,Classification,Vintage,Date,Primeurs,Score,Confidence,# ratings,LWIN,LWIN11
65,"Chateau De Malle, Blanc, Sauternes",34540,chateau-de-malle-blanc-sauternes,Sauternes,White,sweet,Bordeaux,France,2eme Grand Cru classé en 1855,2015,2019-11-07,False,91.62,A+,16,1017281,
66,"Chateau De Myrat, Blanc, Barsac",34668,chateau-de-myrat-blanc-barsac,Barsac,White,sweet,Bordeaux,France,2eme Grand Cru classé en 1855,2015,2019-11-07,False,90.71,A,17,1017337,
67,"Chateau Quintus, Saint Emilion Grand Cru",40327,chateau-quintus-saint-emilion-grand-cru,Saint Emilion Grand Cru,Red,,Bordeaux,France,,2011,2019-11-06,False,89.49,A+,13,1170911,
68,"Gaja, Costa Russi, Langhe Barbaresco",147629,gaja-costa-russi-langhe-barbaresco,Langhe Barbaresco,Red,,Piedmont,Italy,,1990,2019-11-02,False,96.38,B+,6,1099722,
69,"Gaja, Barbaresco, Barbaresco",147628,gaja-barbaresco-barbaresco,Barbaresco,Red,,Piedmont,Italy,,1982,2019-11-02,False,94.68,B+,3,1099605,
70,"Gallica, Cabernet Sauvignon, Oakville",77600,gallica-cabernet-sauvignon-oakville,Oakville,Red,,California,Usa,,2010,2019-11-02,False,93.32,B,10,,
71,"Chateau Lafleur, Les Pensees De Lafleur, Pomerol",37919,chateau-lafleur-les-pensees-de-lafleur-pomerol,Pomerol,Red,,Bordeaux,France,,2010,2019-11-02,False,92.27,B+,11,1013935,
72,"Cain Vineyard & Winery, Cain Five, Spring Mountain District",23254,cain-vineyard-winery-cain-five-spring-mountain-district,Spring Mountain District,Red,,California,Usa,,1997,2019-11-02,False,92.22,B,7,,
73,"Chateau Lafleur, Pomerol",37920,chateau-lafleur-pomerol,Pomerol,Red,,Bordeaux,France,,2002,2019-11-02,False,90.67,B,8,1011902,
74,"Chateau Lafleur, Les Pensees De Lafleur, Pomerol",37919,chateau-lafleur-les-pensees-de-lafleur-pomerol,Pomerol,Red,,Bordeaux,France,,2013,2019-11-02,False,89.37,A,17,1013935,
75,"Petrus, Pomerol",114959,petrus-pomerol,Pomerol,Red,,Bordeaux,France,,1964,2019-11-01,False,96.93,C+,3,1014033,
76,"Le Dome, Saint Emilion Grand Cru",94962,le-dome-saint-emilion-grand-cru,Saint Emilion Grand Cru,Red,,Bordeaux,France,,2018,2019-11-01,False,95.32,B,10,1009424,
77,"Chateau Teyssier, Le Carre, Saint Emilion Grand Cru",94835,chateau-teyssier-le-carre-saint-emilion-grand-cru,Saint Emilion Grand Cru,Red,,Bordeaux,France,,2018,2019-11-01,False,92.44,A,10,,
78,"Chateau Teyssier, Saint Emilion Grand Cru",41245,chateau-teyssier-saint-emilion-grand-cru,Saint Emilion Grand Cru,Red,,Bordeaux,France,,2018,2019-11-01,False,89.6,A,11,1015447,
79,"Chateau Angelus, Saint Emilion Grand Cru",32167,chateau-angelus-saint-emilion-grand-cru,Saint Emilion Grand Cru,Red,,Bordeaux,France,Premier Grand Cru classé A,2015,2019-10-31,False,96.76,A+,21,1006045,
80,"Chateau Rieussec, Blanc, Sauternes",40426,chateau-rieussec-blanc-sauternes,Sauternes,White,sweet,Bordeaux,France,1er Grand Cru Classé en 1855,2015,2019-10-21,False,94.79,B+,17,1017483,
